,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
379,PSSA3,convLSTM2D,14.162719614613964,1,21,5,1d,1
380,PCAR3,LSTM,12.523264070286599,0,21,5,1d,1
381,PCAR3,BidirectionalLSTM,0.0,0,21,5,1d,1
382,PCAR3,convLSTM1D,15.671411097834023,4,21,5,1d,1
383,PCAR3,convLSTM2D,0.0,0,21,5,1d,1
384,PFRM3,LSTM,0.0,0,21,5,1d,1
385,PFRM3,BidirectionalLSTM,491.6024920189326,1,21,5,1d,1
386,PFRM3,convLSTM1D,309.1010695404333,1,21,5,1d,1
387,PFRM3,convLSTM2D,0.0,0,21,5,1d,1
388,PETR3,LSTM,6.893853461113862,4,21,5,1d,1
389,PETR3,BidirectionalLSTM,0.1678179356900435,4,21,5,1d,1
390,PETR3,convLSTM1D,0.0,0,21,5,1d,1
391,PETR3,convLSTM2D,0.0,0,21,5,1d,1
392,POMO3,LSTM,167.3485201362549,0,21,5,1d,1
393,POMO3,BidirectionalLSTM,61.1840174454716,4,21,5,1d,1
394,POMO3,convLSTM1D,10.17545770785311,0,21,5,1d,1
395,POMO3,convLSTM2D,68.81422407670904,4,21,5,1d,1
396,POSI3,LSTM,19.606037313631724,4,21,5,1d,1
397,POSI3,BidirectionalLSTM,13.02929860292158,3,21,5,1d,1
398,POSI3,convLSTM1D,0.0,0,21,5,1d,1
399,POSI3,convLSTM2D,0.0,0,21,5,1d,1
400,PRIO3,LSTM,101.39404658665416,0,21,5,1d,1
401,PRIO3,BidirectionalLSTM,0.0,0,21,5,1d,1
402,PRIO3,convLSTM1D,0.16984602057939358,4,21,5,1d,1
403,PRIO3,convLSTM2D,0.0,0,21,5,1d,1
404,PTBL3,LSTM,0.0,0,21,5,1d,1
405,PTBL3,BidirectionalLSTM,0.436747965226545,2,21,5,1d,1
406,PTBL3,convLSTM1D,2.5237703442177577,0,21,5,1d,1
407,PTBL3,convLSTM2D,0.0,0,21,5,1d,1
408,QUAL3,LSTM,3.351691891012255,0,21,5,1d,1
409,QUAL3,BidirectionalLSTM,1.7806423803604536,0,21,5,1d,1
410,QUAL3,convLSTM1D,0.42928521029295347,1,21,5,1d,1
411,QUAL3,convLSTM2D,2.567830499603259,4,21,5,1d,1
